TITLE     = ""
VARIABLES = "x"
"y"
"z"
"u"
"v"
"w"
"rho"
"rhosN2"
"rhosO2"
"rhosNO"
"rhosNO+"
"rhosN2+"
"rhosO2+"
"rhosN"
"rhosO"
"rhosN+"
"rhosO+"
"rhose"
"csN2"
"csO2"
"csNO"
"csNO+"
"csN2+"
"csO2+"
"csN"
"csO"
"csN+"
"csO+"
"cse"
"t"
"tv"
"p"
"m"
"kt"
"kv"
"mu"
ZONE T="61x50"
 STRANDID=0, SOLUTIONTIME=0
 I=96, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 -2.064311651E-002 3.699990368E-004 1.615450674E-005 7.650019043E+003 -3.850873113E-001 -1.681327634E-002 7.193098281E-005 5.517105456E-005 1.675992280E-005 7.938807489E-014 9.443310290E-015 5.207265486E-015 5.620594695E-015 9.476744476E-013 1.560360998E-012 1.306170953E-035 2.777443057E-015 4.662178116E-019 7.669999003E-001 2.330000699E-001 1.103761083E-009 1.312937675E-010 7.239848998E-011 7.814516395E-011 1.317586129E-008 2.169426416E-008 1.816194608E-031 3.861579806E-011 6.481994591E-015 2.168095245E+002 2.168942261E+002 4.494414330E+000 2.586544609E+001 2.230219170E-002 1.082613107E-005 1.522911589E-005
 -2.024044884E-002 3.699779773E-004 1.615358815E-005 7.650014160E+003 -4.151153862E-001 -1.812432893E-002 7.192839257E-005 5.516906094E-005 1.675931526E-005 3.587411130E-013 4.267213752E-014 2.353065659E-014 2.539844386E-014 4.282365695E-012 7.050986097E-012 3.025537540E-029 1.255095813E-014 2.106751265E-018 7.669997811E-001 2.330000252E-001 4.988106372E-009 5.933336045E-010 3.271813931E-010 3.531520354E-010 5.954403903E-008 9.804025325E-008 4.206280795E-025 1.745144584E-010 2.929326568E-014 2.168400116E+002 2.171264038E+002 4.494884491E+000 2.586361313E+001 2.230465040E-002 1.088606678E-005 1.523078481E-005
 -1.983778170E-002 3.699553439E-004 1.615260044E-005 7.649999512E+003 -4.448770881E-001 -1.942375302E-002 7.192586054E-005 5.516710371E-005 1.675870953E-005 1.178567660E-012 1.401882218E-013 7.730409601E-014 8.344053801E-014 1.406866377E-011 2.316431942E-011 1.021984253E-028 4.123312003E-014 6.921204647E-018 7.669996619E-001 2.329998016E-001 1.638776403E-008 1.949290951E-009 1.074898837E-009 1.160225138E-009 1.956221354E-007 3.220955307E-007 1.420987968E-024 5.733387654E-010 9.623805388E-014 2.169362488E+002 2.178199310E+002 4.496722221E+000 2.585783005E+001 2.231239714E-002 1.106571654E-005 1.523605260E-005
 -1.943511456E-002 3.699311439E-004 1.615154360E-005 7.649984375E+003 -4.746389985E-001 -2.072318643E-002 7.192332123E-005 5.516515012E-005 1.675810381E-005 1.998394289E-012 2.377043061E-013 1.310775219E-013 1.414826237E-013 2.385495967E-011 3.927765058E-011 1.741387457E-028 6.991527854E-014 1.173565803E-017 7.669994831E-001 2.329995781E-001 2.778742036E-008 3.305248075E-009 1.822616280E-009 1.967298102E-009 3.317001926E-007 5.461507726E-007 2.421310138E-024 9.721630168E-010 1.631828353E-013 2.170324860E+002 2.185134583E+002 4.498559952E+000 2.585204697E+001 2.232014574E-002 1.124536630E-005 1.524132040E-005
 -1.903244742E-002 3.699053781E-004 1.615041765E-005 7.649969727E+003 -5.043721199E-001 -2.202136256E-002 7.192078920E-005 5.516319652E-005 1.675749991E-005 2.818593232E-012 3.352649647E-013 1.848755253E-013 1.995511910E-013 3.364572509E-011 5.539833522E-011 2.502646777E-028 9.861055928E-014 1.655231088E-017 7.669993639E-001 2.329993546E-001 3.919224767E-008 4.661823816E-009 2.570674562E-009 2.774738661E-009 4.678402945E-007 7.703080769E-007 3.479793248E-024 1.371169400E-009 2.301581506E-013 2.171287689E+002 2.192073212E+002 4.500398636E+000 2.584626007E+001 2.232789621E-002 1.142510973E-005 1.524659001E-005
 -1.864349534E-002 3.698790573E-004 1.614926805E-005 7.649618652E+003 -5.309661627E-001 -2.318248525E-002 7.192898192E-005 5.516923557E-005 1.675897875E-005 2.332994041E-011 2.774953010E-012 1.530213239E-012 1.651693973E-012 2.784861231E-010 4.585338775E-010 1.216811340E-024 8.162111937E-013 1.370033441E-016 7.669959664E-001 2.329933941E-001 3.241597142E-007 3.855680220E-008 2.126166621E-008 2.294958712E-008 3.869447028E-006 6.371134987E-006 1.690537937E-020 1.134090954E-008 1.903603794E-012 2.195037231E+002 2.301108093E+002 4.550216675E+000 2.571042824E+001 2.251490951E-002 1.743343819E-005 1.537507160E-005
 -1.825456177E-002 3.698513829E-004 1.614806024E-005 7.649266602E+003 -5.576192737E-001 -2.434618399E-002 7.193721831E-005 5.517530735E-005 1.676046668E-005 4.392016612E-011 5.224008292E-012 2.880716499E-012 3.109415069E-012 5.242668522E-010 8.632178861E-010 2.438812595E-024 1.536566339E-012 2.579168738E-016 7.669925690E-001 2.329874188E-001 6.102238217E-007 7.258200441E-008 4.002447795E-008 4.320199309E-008 7.284127150E-006 1.199349026E-005 3.388290117E-020 2.134894395E-008 3.583479216E-012 2.218878174E+002 2.410590973E+002 4.600226879E+000 2.557406616E+001 2.270264179E-002 2.346489055E-005 1.550404886E-005
 -1.786562820E-002 3.698223520E-004 1.614679240E-005 7.648914063E+003 -5.842725635E-001 -2.550989017E-002 7.194544742E-005 5.518137550E-005 1.676195461E-005 6.451039009E-011 7.673062706E-012 4.231219975E-012 4.567136166E-012 7.700475257E-010 1.267901895E-009 3.660813949E-024 2.256921429E-012 3.788304035E-016 7.669891715E-001 2.329814285E-001 8.962878724E-007 1.066072102E-007 5.878728260E-008 6.345439374E-008 1.069880636E-005 1.761584463E-005 5.086042458E-020 3.135697924E-008 5.263354856E-012 2.242719269E+002 2.520073853E+002 4.650237083E+000 2.543770409E+001 2.289037593E-002 2.949634290E-005 1.563302612E-005
 -1.748953609E-002 3.697935169E-004 1.614553366E-005 7.645136719E+003 -5.885421634E-001 -2.569630556E-002 7.201106928E-005 5.522865467E-005 1.677222645E-005 3.098530876E-010 3.685322533E-011 2.032254399E-011 2.193616816E-011 3.698553463E-009 6.089780236E-009 2.075744896E-017 1.084009531E-011 1.819521215E-015 7.669470310E-001 2.329121679E-001 4.283883754E-006 5.095154165E-007 2.809699708E-007 3.032791653E-007 5.113446605E-005 8.419444930E-005 2.865643378E-013 1.498700613E-007 2.515584963E-011 2.523665161E+002 2.839064331E+002 5.241658688E+000 2.444658661E+001 2.483967133E-002 1.191685951E-004 1.697232256E-005
 -1.711366182E-002 3.697646291E-004 1.614427129E-005 7.640350098E+003 -5.862221718E-001 -2.559501305E-002 7.209362229E-005 5.528809925E-005 1.678509580E-005 6.213531356E-010 7.390153073E-011 4.075274840E-011 4.398866688E-011 7.416709469E-009 1.221184931E-008 4.653512985E-017 2.173762906E-011 3.648681665E-015 7.668935061E-001 2.328242660E-001 8.584477655E-006 1.021007165E-006 5.630309943E-007 6.077376611E-007 1.024676094E-004 1.687162148E-004 6.424593930E-013 3.003222560E-007 5.040937806E-011 2.880297546E+002 3.220615234E+002 5.992455006E+000 2.320302010E+001 2.730794065E-002 2.334312885E-004 1.866819548E-005
